director,rating
Isao Takahata,100.0
Remi Weekes,100.0
Channing Godfrey Peoples,99.0
Babak Anvari,99.0
Radha Blank,99.0
Takashi Yamazaki,98.0
Dee Rees,97.0
Craig Brewer,97.0
Jérémy Clapin,97.0
George C. Wolfe,97.0
